Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6798931459,2.20987108338,0.0,0.0,1.85583932782,5.577,23.553843582,18.813934695,3.0011,1.73880888704
 01/01  02:00:00,9.60558397478,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.62660759461,0.0,0.0,0.0,0.618613109274,5.0,3.59317534638,0.0,3.0011,0.59207534638
 01/01  04:00:00,9.64214571378,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.790761763,0.0,0.0,0.0,0.618613109274,5.0,3.59318124212,0.0,3.0011,0.592081242116
 01/01  06:00:00,13.8034819692,2.20987108338,0.0,0.0,1.85583932782,5.577,32.7517023803,28.2300523803,4.50165,0.02
 01/01  07:00:00,28.2675997317,2.20987108338,0.0,0.0,3.71167865564,18.077,37.7755061509,23.1055466299,13.50495,1.16500952097
 01/01  08:00:00,25.7045281833,2.20987108338,0.0,0.0,3.71167865564,18.077,40.3492108958,17.6037445681,21.0077,1.73776632775
 01/01  09:00:00,20.7207874886,2.20987108338,0.0,0.0,3.71167865564,13.077,30.0121026584,13.841343198,15.0055,1.16525946046
 01/01  10:00:00,20.7428334462,2.20987108338,0.0,0.0,3.71167865564,13.077,25.7751802093,9.60443871054,15.0055,1.16524149873
 01/01  11:00:00,25.7645020281,2.20987108338,0.0,0.0,3.71167865564,18.077,40.7298686927,4.25451631858,33.0121,3.46325237417
 01/01  12:00:00,26.9051798632,2.20987108338,0.0,0.0,3.71167865564,18.077,44.9090264996,0.357477453245,40.51485,4.03669904636
 01/01  13:00:00,26.0701915983,2.20987108338,0.00468526185243,0.0,3.71167865564,18.077,38.9000441667,0.0,36.0132,2.88684416673
 01/01  14:00:00,25.8847540809,2.20987108338,0.0,0.0,3.71167865564,18.077,34.3984238057,0.0,31.51155,2.88687380566
 01/01  15:00:00,20.8971187085,2.20987108338,0.0,0.0,3.71167865564,13.077,23.3569722479,0.0365939452711,21.0077,2.31267830258
 01/01  16:00:00,20.8821120458,2.20987108338,0.0,0.0,3.71167865564,13.077,21.8197199403,0.0,19.50715,2.31256994029
 01/01  17:00:00,20.7843604742,2.20987108338,0.0,0.0,3.71167865564,13.077,24.8207591356,0.0,22.50825,2.31250913556
 01/01  18:00:00,28.2779831472,2.20987108338,0.0,0.0,3.71167865564,18.077,30.1593295191,1.76250936007,25.50935,2.88747015905
 01/01  19:00:00,28.233765202,2.20987108338,0.0,0.0,3.71167865564,18.077,33.778104697,4.80552996909,25.50935,3.4632247279
 01/01  20:00:00,28.352887679,2.20987108338,0.0,0.0,3.71167865564,18.077,37.9307682237,8.38494535706,25.50935,4.03647286667
 01/01  21:00:00,23.330003814,2.20987108338,0.0,0.0,3.71167865564,13.077,36.1803534866,10.7849632977,22.50825,2.88714018892
 01/01  22:00:00,23.2572170556,2.20987108338,0.0,0.0,3.71167865564,13.077,36.2225855184,11.7528282329,21.0077,3.46205728553
 01/01  23:00:00,23.1568282401,2.20987108338,0.0,0.0,3.71167865564,13.077,32.2938543138,11.4006169282,18.0066,2.88663738551
 01/01  24:00:00,24.3189128397,2.20987108338,0.0,0.0,3.71167865564,13.077,17.4861113123,12.7470710695,3.0011,1.73794024282
 01/02  01:00:00,13.8887675141,2.20987108338,0.0,0.0,1.85583932782,5.577,20.520716146,15.7816150912,3.0011,1.73800105487
 01/02  02:00:00,9.65234764596,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.7057096639,0.0,0.0,0.0,0.618613109274,5.0,3.59318422342,0.0,3.0011,0.592084223418
 01/02  04:00:00,9.74986133413,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.91115256825,0.0,0.0,0.0,0.618613109274,5.0,3.59319011802,0.0,3.0011,0.592090118025
 01/02  06:00:00,13.8979077185,2.20987108338,0.0,0.0,1.85583932782,5.577,15.5449709373,11.0233209373,4.50165,0.02
 01/02  07:00:00,28.3162104516,2.20987108338,0.0,0.0,3.71167865564,18.077,26.0491257112,11.3790415254,13.50495,1.16513418577
 01/02  08:00:00,25.716838538,2.20987108338,0.0,0.0,3.71167865564,18.077,37.2697009137,11.6483626638,21.0077,4.61363824981
 01/02  09:00:00,20.7079890666,2.20987108338,0.0,0.0,3.71167865564,13.077,31.9204966519,12.8770365688,15.0055,4.03796008311
 01/02  10:00:00,20.713205882,2.20987108338,0.0,0.0,3.71167865564,13.077,31.6082919782,13.1408509951,15.0055,3.46194098305
 01/02  11:00:00,25.7183898883,2.20987108338,0.0,0.0,3.71167865564,18.077,45.6060744408,9.70670911654,33.0121,2.88726532427
 01/02  12:00:00,26.8481536941,2.20987108338,0.0,0.0,3.71167865564,18.077,48.8578137204,4.88143319537,40.51485,3.46153052507
 01/02  13:00:00,25.9573345074,2.20987108338,0.0,0.0,3.71167865564,18.077,40.4994745113,1.59904485885,36.0132,2.88722965246
 01/02  14:00:00,25.7678019819,2.20987108338,0.0,0.0,3.71167865564,18.077,34.8718617436,1.04778188626,31.51155,2.31252985739
 01/02  15:00:00,20.7665608287,2.20987108338,0.0,0.0,3.71167865564,13.077,27.5930235677,4.27285767091,21.0077,2.31246589682
 01/02  16:00:00,20.7346117847,2.20987108338,0.0,0.0,3.71167865564,13.077,30.0801036673,8.2605090835,19.50715,2.31244458381
 01/02  17:00:00,20.6492031708,2.20987108338,0.0,0.0,3.71167865564,13.077,34.2908421879,9.47016992306,22.50825,2.31242226485
 01/02  18:00:00,28.1758771923,2.20987108338,0.0,0.0,3.71167865564,18.077,39.3426635471,10.9458717841,25.50935,2.88744176302
 01/02  19:00:00,28.1660133614,2.20987108338,0.0,0.0,3.71167865564,18.077,43.7438234479,14.1962999795,25.50935,4.03817346837
 01/02  20:00:00,28.2966736726,2.20987108338,0.0,0.0,3.71167865564,18.077,46.9841746816,16.861659188,25.50935,4.61316549358
 01/02  21:00:00,23.2762941348,2.20987108338,0.0,0.0,3.71167865564,13.077,44.9150657043,18.9444364681,22.50825,3.46237923622
 01/02  22:00:00,23.1993062704,2.20987108338,0.0,0.0,3.71167865564,13.077,46.0758840626,21.0305718585,21.0077,4.03761220413
 01/02  23:00:00,23.0890439248,2.20987108338,0.0,0.0,3.71167865564,13.077,44.6442822716,23.1761883001,18.0066,3.46149397152
 01/02  24:00:00,24.2714636404,2.20987108338,0.0,0.0,3.71167865564,13.077,30.5841102281,25.8446203498,3.0011,1.7383898783
 01/03  01:00:00,13.802820733,2.20987108338,0.0,0.0,1.85583932782,5.577,36.9525006591,32.2132722911,3.0011,1.73812836798
 01/03  02:00:00,9.53474518644,0.0,0.0,0.0,0.618613109274,5.0,3.59317418083,0.0,3.0011,0.592074180831
 01/03  03:00:00,9.55951614431,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.57915788893,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.2428278095,0.0,0.0,0.0,0.618613109274,5.0,3.59318008087,0.0,3.0011,0.59208008087
 01/03  06:00:00,14.2642692843,2.20987108338,0.0,0.0,1.85583932782,5.577,41.6886151678,37.1669651678,4.50165,0.02
 01/03  07:00:00,28.4438326324,2.20987108338,0.0,0.0,3.71167865564,18.077,47.3503123873,32.1077161894,13.50495,1.73764619789
 01/03  08:00:00,25.6512766246,2.20987108338,0.0,0.0,3.71167865564,18.077,50.6470427542,25.5999840089,21.0077,4.03935874533
 01/03  09:00:00,20.673268473,2.20987108338,0.0,0.0,3.71167865564,13.077,40.0437579057,21.0000744093,15.0055,4.03818349642
 01/03  10:00:00,20.701370998,2.20987108338,0.0,0.0,3.71167865564,13.077,34.4961337446,16.0284506744,15.0055,3.46218307022
 01/03  11:00:00,25.7040462741,2.20987108338,0.0,0.0,3.71167865564,18.077,45.8946128462,9.99495436214,33.0121,2.88755848403
 01/03  12:00:00,26.8351685882,2.20987108338,0.0,0.0,3.71167865564,18.077,48.9680437297,4.99125588619,40.51485,3.46193784349
 01/03  13:00:00,25.9534576209,2.20987108338,0.0,0.0,3.71167865564,18.077,39.6111187205,0.710534613297,36.0132,2.8873841072
 01/03  14:00:00,25.7720312872,2.20987108338,0.0,0.0,3.71167865564,18.077,33.8771512311,0.0525352207025,31.51155,2.31306601037
 01/03  15:00:00,20.7917260407,2.20987108338,0.0,0.0,3.71167865564,13.077,24.3723331767,1.05189746658,21.0077,2.3127357101
 01/03  16:00:00,20.7726402302,2.20987108338,0.0,0.0,3.71167865564,13.077,24.8095450343,2.98967565519,19.50715,2.31271937911
 01/03  17:00:00,20.6748474734,2.20987108338,0.0,0.0,3.71167865564,13.077,29.5888498053,4.76789530418,22.50825,2.3127045011
 01/03  18:00:00,27.5550456722,2.20987108338,0.0,0.0,3.71167865564,18.077,36.3274807004,7.35706381318,25.50935,3.46106688717
 01/03  19:00:00,28.1820345877,2.20987108338,0.0,0.0,3.71167865564,18.077,39.6178448213,10.0704161488,25.50935,4.03807867247
 01/03  20:00:00,28.1593611326,2.20987108338,0.0,0.0,3.71167865564,18.077,44.4677712845,14.9192141872,25.50935,4.03920709734
 01/03  21:00:00,23.1358109253,2.20987108338,0.0,0.0,3.71167865564,13.077,46.3838834019,20.4132053959,22.50825,3.46242800598
 01/03  22:00:00,23.0938317938,2.20987108338,0.0,0.0,3.71167865564,13.077,46.9534309096,21.9080871397,21.0077,4.03764376987
 01/03  23:00:00,23.0839897335,2.20987108338,0.0,0.0,3.71167865564,13.077,46.1385486638,24.6708413033,18.0066,3.46110736049
 01/03  24:00:00,24.2670417053,2.20987108338,0.0,0.0,3.71167865564,13.077,33.6259987435,28.3140075521,3.0011,2.31089119143
 01/04  01:00:00,13.7879208898,2.20987108338,0.0,0.0,1.85583932782,5.577,40.500717352,36.3343653015,3.0011,1.16525205053
 01/04  02:00:00,9.51841960983,0.0,0.0,0.0,0.618613109274,5.0,3.59319128737,0.0,3.0011,0.592091287372
 01/04  03:00:00,9.54711979846,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.55471951211,0.0,0.0,0.0,0.618613109274,5.0,3.59317135618,0.0,3.0011,0.592071356177
 01/04  05:00:00,9.70754845108,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  06:00:00,13.7414162068,2.20987108338,0.0,0.0,1.85583932782,5.577,45.0147445424,39.9210172835,4.50165,0.59207725892
 01/04  07:00:00,28.2117627923,2.20987108338,0.0,0.0,3.71167865564,18.077,47.8800743514,33.2101242759,13.50495,1.1650000755
 01/04  08:00:00,25.646145716,2.20987108338,0.0,0.0,3.71167865564,18.077,52.3518806148,27.3061421561,21.0077,4.03803845873
 01/04  09:00:00,20.6802413988,2.20987108338,0.0,0.0,3.71167865564,13.077,39.5534426645,20.5097892672,15.0055,4.03815339731
 01/04  10:00:00,20.7277925288,2.20987108338,0.0,0.0,3.71167865564,13.077,30.5288121422,12.0612129413,15.0055,3.46209920089
 01/04  11:00:00,25.7633067016,2.20987108338,0.0,0.0,3.71167865564,18.077,39.8911986751,3.99149278661,33.0121,2.88760588853
 01/04  12:00:00,26.9160328304,2.20987108338,0.0,0.0,3.71167865564,18.077,43.9768773743,0.0,40.51485,3.46202737428
 01/04  13:00:00,26.070912909,2.20987108338,0.00347706246746,0.0,3.71167865564,18.077,38.9005209878,0.0,36.0132,2.88732098781
 01/04  14:00:00,25.8646804143,2.20987108338,0.0,0.0,3.71167865564,18.077,34.3977145645,0.0,31.51155,2.88616456451
 01/04  15:00:00,20.8731860668,2.20987108338,0.0,0.0,3.71167865564,13.077,23.3534907878,0.0333456785101,21.0077,2.31244510932
 01/04  16:00:00,20.8430808511,2.20987108338,0.0,0.0,3.71167865564,13.077,21.9603503848,0.140529270989,19.50715,2.31267111379
 01/04  17:00:00,20.7400552795,2.20987108338,0.0,0.0,3.71167865564,13.077,26.4930810465,1.67236738219,22.50825,2.31246366431
 01/04  18:00:00,27.6077815986,2.20987108338,0.0,0.0,3.71167865564,18.077,31.7032083977,3.30626779668,25.50935,2.88759060104
 01/04  19:00:00,28.2166110274,2.20987108338,0.0,0.0,3.71167865564,18.077,36.0723275504,6.52497924722,25.50935,4.03799830322
 01/04  20:00:00,28.3486194135,2.20987108338,0.0,0.0,3.71167865564,18.077,38.8283232865,9.27983148397,25.50935,4.03914180253
 01/04  21:00:00,23.3204099076,2.20987108338,0.0,0.0,3.71167865564,13.077,39.4740355425,12.9295990807,22.50825,4.03618646187
 01/04  22:00:00,23.2425178143,2.20987108338,0.0,0.0,3.71167865564,13.077,39.458218773,14.4131180217,21.0077,4.03740075132
 01/04  23:00:00,23.1352548277,2.20987108338,0.0,0.0,3.71167865564,13.077,36.456871992,15.5629913827,18.0066,2.88728060925
 01/04  24:00:00,24.2954341898,2.20987108338,0.0,0.0,3.71167865564,13.077,24.8445262774,19.5317355623,3.0011,2.31169071505
 01/05  01:00:00,13.8324237907,2.20987108338,0.0,0.0,1.85583932782,5.577,31.5510650405,26.8121772753,3.0011,1.73778776526
 01/05  02:00:00,9.57937616649,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  03:00:00,9.60154132136,0.0,0.0,0.0,0.618613109274,5.0,3.59316216802,0.0,3.0011,0.592062168024
 01/05  04:00:00,9.60058524308,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  05:00:00,9.74634791427,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  06:00:00,13.7706923557,2.20987108338,0.0,0.0,1.85583932782,5.577,39.0517041279,33.9579602059,4.50165,0.592093921984
 01/05  07:00:00,28.2338406132,2.20987108338,0.0,0.0,3.71167865564,18.077,43.746025382,29.0760347375,13.50495,1.16504064451
 01/05  08:00:00,25.6700330978,2.20987108338,0.0,0.0,3.71167865564,18.077,48.1736951281,22.5532186334,21.0077,4.61277649463
 01/05  09:00:00,20.7295135842,2.20987108338,0.0,0.0,3.71167865564,13.077,30.7621511839,11.7181954708,15.0055,4.03845571307
 01/05  10:00:00,20.8358783739,2.20987108338,0.0,0.0,3.71167865564,13.077,19.8178529467,1.92379583446,15.0055,2.88855711229
 01/05  11:00:00,25.9127986168,2.20987108338,0.0,0.0,3.71167865564,18.077,36.4732473277,0.0,33.0121,3.46114732769
 01/05  12:00:00,27.2146845428,2.20987108338,0.161169557828,0.0,3.71167865564,18.077,43.4031764142,0.0,40.51485,2.8883264142
 01/05  13:00:00,27.1802532004,2.20987108338,0.935652279031,0.0,3.71167865564,18.077,39.3198768498,0.0,36.0132,3.30667684979
 01/05  14:00:00,26.8487774624,2.20987108338,0.852839275747,0.0,3.71167865564,18.077,33.9779859968,0.0,31.51155,2.4664359968
 01/05  15:00:00,21.3919299372,2.20987108338,0.39830582165,0.0,3.71167865564,13.077,23.3198986093,0.0,21.0077,2.31219860928
 01/05  16:00:00,21.2336306302,2.20987108338,0.251083872371,0.0,3.71167865564,13.077,21.8197400731,0.0,19.50715,2.31259007305
 01/05  17:00:00,20.9128884622,2.20987108338,0.0279416468544,0.0,3.71167865564,13.077,24.82104168,0.0,22.50825,2.31279168001
 01/05  18:00:00,27.7360941877,2.20987108338,0.0,0.0,3.71167865564,18.077,28.4168857813,0.0199054510913,25.50935,2.88763033017
 01/05  19:00:00,28.318861257,2.20987108338,0.0,0.0,3.71167865564,18.077,29.5475534555,0.0,25.50935,4.03820345549
 01/05  20:00:00,28.4365749052,2.20987108338,0.0,0.0,3.71167865564,18.077,31.0301445018,0.907250304301,25.50935,4.61354419752
 01/05  21:00:00,23.3825716327,2.20987108338,0.0,0.0,3.71167865564,13.077,30.5023570595,4.53115188449,22.50825,3.46295517499
 01/05  22:00:00,23.2838379632,2.20987108338,0.0,0.0,3.71167865564,13.077,32.8547274277,7.80985465017,21.0077,4.03717277751
 01/05  23:00:00,23.1683162361,2.20987108338,0.0,0.0,3.71167865564,13.077,31.4008728838,9.93299134864,18.0066,3.46128153517
 01/05  24:00:00,24.3153246918,2.20987108338,0.0,0.0,3.71167865564,13.077,17.9132108647,13.1738135831,3.0011,1.73829728159
 01/06  01:00:00,13.8519514032,2.20987108338,0.0,0.0,1.85583932782,5.577,26.8177935591,22.0786454815,3.0011,1.73804807768
 01/06  02:00:00,9.5926212066,0.0,0.0,0.0,0.618613109274,5.0,3.59314785402,0.0,3.0011,0.59204785402
 01/06  03:00:00,9.6244699885,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/06  04:00:00,9.63830066078,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/06  05:00:00,10.3030566382,0.0,0.0,0.0,0.618613109274,5.0,3.59315379596,0.0,3.0011,0.592053795955
 01/06  06:00:00,14.3269683374,2.20987108338,0.0,0.0,1.85583932782,5.577,29.9779869316,25.4563369316,4.50165,0.02
 01/06  07:00:00,28.5312194413,2.20987108338,0.0,0.0,3.71167865564,18.077,29.9196660099,14.6771399019,13.50495,1.73757610807
 01/06  08:00:00,25.7521944355,2.20987108338,0.0,0.0,3.71167865564,18.077,32.7793705741,7.73253854767,21.0077,4.03913202645
 01/06  09:00:00,20.7649144608,2.20987108338,0.0,0.0,3.71167865564,13.077,24.3029735444,5.25929554852,15.0055,4.03817799584
 01/06  10:00:00,20.807137278,2.20987108338,0.0,0.0,3.71167865564,13.077,20.835536412,2.36782588716,15.0055,3.46221052479
 01/06  11:00:00,25.8408968447,2.20987108338,0.0,0.0,3.71167865564,18.077,35.8997899904,0.0,33.0121,2.88768999039
 01/06  12:00:00,26.9880321641,2.20987108338,0.00293424665967,0.0,3.71167865564,18.077,43.9767982614,0.0,40.51485,3.46194826141
 01/06  13:00:00,26.4746008612,2.20987108338,0.316223532389,0.0,3.71167865564,18.077,38.9005289842,0.0,36.0132,2.8873289842
 01/06  14:00:00,26.5200652037,2.20987108338,0.57135733427,0.0,3.71167865564,18.077,34.3978297187,0.0,31.51155,2.8862797187
 01/06  15:00:00,21.0230937143,2.20987108338,0.07455198161,0.0,3.71167865564,13.077,23.3195040814,0.0,21.0077,2.31180408138
 01/06  16:00:00,20.9204142556,2.20987108338,0.0,0.0,3.71167865564,13.077,21.8356138103,0.0160594791891,19.50715,2.31240433113
 01/06  17:00:00,20.8131429266,2.20987108338,0.0,0.0,3.71167865564,13.077,24.8207944459,0.0,22.50825,2.31254444589
 01/06  18:00:00,27.6643090705,2.20987108338,0.0,0.0,3.71167865564,18.077,28.3969629659,0.0,25.50935,2.88761296586
 01/06  19:00:00,28.2474911607,2.20987108338,0.0,0.0,3.71167865564,18.077,31.0672111894,1.5199543424,25.50935,4.037906847
 01/06  20:00:00,28.2282659434,2.20987108338,0.0,0.0,3.71167865564,18.077,32.6406303634,3.09207807775,25.50935,4.03920228565
 01/06  21:00:00,23.2143972642,2.20987108338,0.0,0.0,3.71167865564,13.077,31.8328410455,5.28837459724,22.50825,4.03621644823
 01/06  22:00:00,23.1586283517,2.20987108338,0.0,0.0,3.71167865564,13.077,33.1132006467,8.06780055551,21.0077,4.03770009115
 01/06  23:00:00,23.1436548375,2.20987108338,0.0,0.0,3.71167865564,13.077,32.6391155593,11.74474555,18.0066,2.88777000934
 01/06  24:00:00,24.2990781104,2.20987108338,0.0,0.0,3.71167865564,13.077,19.8248727635,14.5124249834,3.0011,2.31134778002
 01/07  01:00:00,13.8423834095,2.20987108338,0.0,0.0,1.85583932782,5.577,27.2474319708,22.5083123792,3.0011,1.73801959154
 01/07  02:00:00,9.5741509978,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/07  03:00:00,9.59600616257,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/07  04:00:00,9.59909107938,0.0,0.0,0.0,0.618613109274,5.0,3.59318127491,0.0,3.0011,0.59208127491
 01/07  05:00:00,9.74525393004,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/07  06:00:00,13.7652564223,2.20987108338,0.0,0.0,1.85583932782,5.577,38.7575141871,33.6637770252,4.50165,0.592087161929
 01/07  07:00:00,28.2277638364,2.20987108338,0.0,0.0,3.71167865564,18.077,43.8514711293,29.1812820083,13.50495,1.165239121
 01/07  08:00:00,25.6576870844,2.20987108338,0.0,0.0,3.71167865564,18.077,47.2834192526,25.1106551886,21.0077,1.16506406405
 01/07  09:00:00,20.666336125,2.20987108338,0.0,0.0,3.71167865564,13.077,40.0194432028,23.2760510977,15.0055,1.73789210509
 01/07  10:00:00,20.6928848995,2.20987108338,0.0,0.0,3.71167865564,13.077,36.598278361,18.1294573903,15.0055,3.46332097075
 01/07  11:00:00,25.7114660403,2.20987108338,0.0,0.0,3.71167865564,18.077,47.3001385585,10.8259110011,33.0121,3.46212755748
 01/07  12:00:00,26.8385558792,2.20987108338,0.0,0.0,3.71167865564,18.077,50.7884429956,6.81065714697,40.51485,3.46293584865
 01/07  13:00:00,25.965242057,2.20987108338,0.0,0.0,3.71167865564,18.077,41.3424526075,1.86645877535,36.0132,3.46279383211
 01/07  14:00:00,25.8000585149,2.20987108338,0.0,0.0,3.71167865564,18.077,35.0272624566,0.054116402531,31.51155,3.46159605409
 01/07  15:00:00,20.8175260292,2.20987108338,0.0,0.0,3.71167865564,13.077,24.0610850994,0.165907193071,21.0077,2.88747790631
 01/07  16:00:00,20.7990404644,2.20987108338,0.0,0.0,3.71167865564,13.077,23.9935872005,1.02564833413,19.50715,3.46078886636
 01/07  17:00:00,20.7004376537,2.20987108338,0.0,0.0,3.71167865564,13.077,28.1173406716,3.29567699727,22.50825,2.31341367431
 01/07  18:00:00,27.5748542956,2.20987108338,0.0,0.0,3.71167865564,18.077,35.045242014,6.64836172013,25.50935,2.88753029388
 01/07  19:00:00,28.1914825873,2.20987108338,0.0,0.0,3.71167865564,18.077,38.7680752109,9.22069036302,25.50935,4.03803484793
 01/07  20:00:00,28.3230362835,2.20987108338,0.0,0.0,3.71167865564,18.077,41.4326415295,11.885595205,25.50935,4.03769632446
 01/07  21:00:00,23.3041928172,2.20987108338,0.0,0.0,3.71167865564,13.077,40.483526098,13.9389189641,22.50825,4.03635713394
 01/07  22:00:00,23.2136057454,2.20987108338,0.0,0.0,3.71167865564,13.077,44.112419379,19.0674526788,21.0077,4.03726670023
 01/07  23:00:00,23.0979600537,2.20987108338,0.0,0.0,3.71167865564,13.077,42.3504050404,21.4569773789,18.0066,2.88682766151
 01/07  24:00:00,24.2793151027,2.20987108338,0.0,0.0,3.71167865564,13.077,28.3847754793,23.072178572,3.0011,2.31149690731
 01/08  01:00:00,13.8232048802,2.20987108338,0.0,0.0,1.85583932782,5.577,32.6045953378,27.8652208552,3.0011,1.73827448255
 01/08  02:00:00,9.56183365084,0.0,0.0,0.0,0.618613109274,5.0,3.59317240359,0.0,3.0011,0.592072403586
 01/08  03:00:00,9.58084832762,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/08  04:00:00,9.5772863083,0.0,0.0,0.0,0.618613109274,5.0,3.59317830526,0.0,3.0011,0.592078305259
 01/08  05:00:00,9.71950003524,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/08  06:00:00,13.7496102751,2.20987108338,0.0,0.0,1.85583932782,5.577,42.8214757313,38.2998257313,4.50165,0.02
 01/08  07:00:00,28.2261365476,2.20987108338,0.0,0.0,3.71167865564,18.077,46.1483383591,30.9058374224,13.50495,1.73755093666
 01/08  08:00:00,25.6627538821,2.20987108338,0.0,0.0,3.71167865564,18.077,47.7708222402,25.5979913287,21.0077,1.16513091148
 01/08  09:00:00,20.6928854604,2.20987108338,0.0,0.0,3.71167865564,13.077,35.0588885519,18.8881159566,15.0055,1.16527259532
 01/08  10:00:00,20.7434536199,2.20987108338,0.0,0.0,3.71167865564,13.077,24.3088851542,8.1381192575,15.0055,1.16526589669
 01/08  11:00:00,25.7857671183,2.20987108338,0.0,0.0,3.71167865564,18.077,39.0004764388,1.95118171054,33.0121,4.03719472828
 01/08  12:00:00,26.9648655625,2.20987108338,0.00764879422112,0.0,3.71167865564,18.077,43.9780476811,0.0,40.51485,3.4631976811
 01/08  13:00:00,26.2081577927,2.20987108338,0.0606547912726,0.0,3.71167865564,18.077,38.9007919007,0.0,36.0132,2.88759190067
 01/08  14:00:00,26.2439703851,2.20987108338,0.300326673393,0.0,3.71167865564,18.077,34.9720843837,0.0,31.51155,3.46053438368
 01/08  15:00:00,21.0819345785,2.20987108338,0.121612215747,0.0,3.71167865564,13.077,23.3196635576,0.0,21.0077,2.31196355755
 01/08  16:00:00,20.985976917,2.20987108338,0.0375953611774,0.0,3.71167865564,13.077,21.8195282432,0.0,19.50715,2.31237824317
 01/08  17:00:00,20.8453984588,2.20987108338,0.0,0.0,3.71167865564,13.077,24.8207973136,0.0,22.50825,2.31254731363
 01/08  18:00:00,27.6850787467,2.20987108338,0.0,0.0,3.71167865564,18.077,28.6753769512,0.278459117948,25.50935,2.8875678333
 01/08  19:00:00,28.2743373201,2.20987108338,0.0,0.0,3.71167865564,18.077,29.7699778173,0.797654776392,25.50935,3.46297304093
 01/08  20:00:00,28.39779244,2.20987108338,0.0,0.0,3.71167865564,18.077,32.2267513906,2.68096502221,25.50935,4.03643636834
 01/08  21:00:00,23.362288304,2.20987108338,0.0,0.0,3.71167865564,13.077,30.7572041709,5.36167728382,22.50825,2.88727688707
 01/08  22:00:00,23.2844476716,2.20987108338,0.0,0.0,3.71167865564,13.077,31.0012640726,6.53082394402,21.0077,3.46274012862
 01/08  23:00:00,23.1729040422,2.20987108338,0.0,0.0,3.71167865564,13.077,30.2503416501,9.35679252883,18.0066,2.88694912123
 01/08  24:00:00,24.3254674084,2.20987108338,0.0,0.0,3.71167865564,13.077,15.4689496398,10.7297321577,3.0011,1.73811748207
 01/09  01:00:00,13.8830833808,2.20987108338,0.0,0.0,1.85583932782,5.577,22.3530047676,17.6140320857,3.0011,1.73787268191
 01/09  02:00:00,9.61893951144,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/09  03:00:00,9.64359125192,0.0,0.0,0.0,0.618613109274,5.0,3.59319418677,0.0,3.0011,0.592094186768
 01/09  04:00:00,9.65249884378,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/09  05:00:00,9.80286483772,0.0,0.0,0.0,0.618613109274,5.0,3.59314833821,0.0,3.0011,0.592048338207
 01/09  06:00:00,13.8259920071,2.20987108338,0.0,0.0,1.85583932782,5.577,27.7004426935,23.1787926935,4.50165,0.02
 01/09  07:00:00,28.3025382663,2.20987108338,0.0,0.0,3.71167865564,18.077,30.0554414205,15.3854304958,13.50495,1.1650609247
 01/09  08:00:00,25.7650480568,2.20987108338,0.0,0.0,3.71167865564,18.077,32.2759055689,6.65449226028,21.0077,4.61371330866
 01/09  09:00:00,20.8218323372,2.20987108338,0.0,0.0,3.71167865564,13.077,21.8390456783,2.79486356383,15.0055,4.03868211444
 01/09  10:00:00,20.9235579404,2.20987108338,0.00695943427963,0.0,3.71167865564,13.077,18.5766828167,0.108929040181,15.0055,3.46225377656
